id,COUNTYFP,CountyID,NAME,Erosion,NonErosion,CornNoTill,SoyNoTill,CornSyNoTill,CornConvTill,SoyConvTill,PercentCCResidue
1,001,1,Adams,9.2,90.8,7.3,34.5,20.9,10.9,2.2,3.2
2,003,3,Alexander,0,100,0,29.2,14.6,96.7,66.7,0.7
3,005,5,Bond,4.5,95.5,0.6,18.6,9.6,28.6,3.3,1.8
4,007,7,Boone,6.3,93.7,3.6,25,14.3,62.5,10.8,0
5,009,9,Brown,55.2,44.8,6.9,34.8,20.85,51.1,11.2,1.9
6,011,11,Bureau,0.6,99.4,3.4,19.6,11.5,18.9,3.7,0.6
7,013,13,Calhoun,9,91,22,45.7,33.85,47.5,15.2,0
8,015,15,Carroll,0.4,99.6,10.3,38.8,24.55,4.9,0.9,0
9,017,17,Cass,13.1,86.9,50.3,53.2,51.75,0,0,0.6
10,019,19,Champaign,0.6,99.4,0.3,23.7,12,93.6,20.4,1.1
11,021,21,Christian,0,100,0,2.8,1.4,98.4,0,0
12,023,23,Clark,5.3,94.7,0.9,8.7,4.8,94.1,20.7,0.2
13,025,25,Clay,12.7,87.3,5,46.1,25.55,70.6,20.1,0.7
14,027,27,Clinton,7,93,3.3,16.5,9.9,95.4,70.6,1.7
15,029,29,Coles,17.7,82.3,0,10.8,5.4,76.2,16.4,1.3
16,031,31,Cook,0,0,0,0,0,0,0,0
17,033,33,Crawford,27,73,0,16,8,60.3,26.2,17.2
18,035,35,Cumberland,7.5,92.5,5.8,16,10.9,89.1,28.8,2
19,039,39,De_Witt,3,97,0.3,14.8,7.55,85,9.3,2.2
20,037,37,DeKalb,6.5,93.5,5.6,22.3,13.95,47.5,4.1,0.6
21,041,41,Douglas,0.2,99.8,0.4,11.5,5.95,93,11.5,0.6
22,043,43,DuPage,0,100,0,0,0,0,0,0
23,045,45,Edgar,2.3,97.7,10.1,42.2,26.15,78.9,1,3.2
24,047,47,Edwards,28.6,71.4,32.8,71.1,51.95,47.2,7.8,0.9
25,049,49,Effingham,13.4,86.6,0.9,18.4,9.65,94.6,29.4,3.9
26,051,51,Fayette,43.5,56.5,2.8,21.5,12.15,93.3,30,2.7
27,053,53,Ford,1.5,98.5,0.6,26.7,13.65,95.4,28.9,1.8
28,055,55,Franklin,57.3,42.7,8.4,53.6,31,57.9,8.7,12.3
29,057,57,Fulton,17.8,82.2,10.2,65,37.6,0.3,1.2,0.2
30,059,59,Gallatin,9.9,90.1,5,30.5,17.75,75.1,45.3,2
31,061,61,Greene,0,100,11.9,50.3,31.1,86.2,13.9,0
32,063,63,Grundy,1,99,11.3,47.7,29.5,69.7,5.3,0.2
33,065,65,Hamilton,1.7,98.3,27.4,56.9,42.15,62.8,20.9,6.3
34,067,67,Hancock,66.6,33.4,4.3,52,28.15,24.4,4.1,2.2
35,069,69,Hardin,10.4,89.6,0,12.5,6.25,88.9,66.7,0
36,071,71,Henderson,17.1,82.9,12,40.2,26.1,4.7,0.5,0
37,073,73,Henry,0,100,44.2,37.9,41.05,14.7,1.1,1
38,075,75,Iroquois,7.5,92.5,6.1,30.5,18.3,59.4,4.8,1.5
39,077,77,Jackson,0,100,20.2,35.4,27.8,76.9,50.5,1.3
40,079,79,Jasper,19.7,80.3,8.1,25.2,16.65,86.7,23.4,1.6
41,081,81,Jefferson,62.9,37.1,9.2,52,30.6,51.3,11.1,10
42,083,83,Jersey,13.6,86.4,18.7,52,35.35,29.2,3,0.2
43,085,85,Jo_Daviess,23.8,76.2,15.3,45.2,30.25,23.6,3.5,2.4
44,087,87,Johnson,8,92,78.6,71.9,75.25,0,4.7,0
45,089,89,Kane,8,92,6.4,23.4,14.9,65.7,10.6,0.3
46,091,91,Kankakee,0.8,99.2,3.9,40.2,22.05,68.6,5.9,0.8
47,093,93,Kendall,13.3,86.7,0.4,36,18.2,46.3,2.5,0
48,095,95,Knox,2.2,97.8,31.2,77.6,54.4,1.7,0,0.7
49,097,97,Lake,0,100,0,0,0,0,0,0
50,099,99,LaSalle,8.2,91.8,14.4,35.5,24.95,68.1,24.2,0.2
51,101,101,Lawrence,4.4,95.6,7.7,44.4,26.05,27,12.9,14.3
52,103,103,Lee,7.6,92.4,6.2,22.9,14.55,16,3.6,1.2
53,105,105,Livingston,11.5,88.5,12.6,16.2,14.4,65.2,8.3,0.8
54,107,107,Logan,4.4,95.6,36.2,30.3,33.25,5,0.4,0.7
55,115,115,Macon,0,100,0.3,17.1,8.7,86.3,8.9,1.6
56,117,117,Macoupin,18.3,81.7,4,23.4,13.7,72.3,11.4,2.3
57,119,119,Madison,15.9,84.1,0.6,2.4,1.5,77.1,18.6,0.5
58,121,121,Marion,7.4,92.6,6.7,34.4,20.55,86.6,22.5,3
59,123,123,Marshall,2.5,97.5,22.8,33,27.9,0.6,0.5,5
60,125,125,Mason,1.7,98.3,6.4,43,24.7,0.7,0,0.5
61,127,127,Massac,10.2,89.8,63,85,74,28.3,8.1,4.4
62,109,109,McDonough,23.3,76.7,29.4,56.5,42.95,30.2,2.7,0.8
63,111,111,McHenry,6.4,93.6,28.7,28.2,28.45,45,12,1.5
64,113,113,McLean,0.3,99.7,9,37.1,23.05,26.5,1.3,0.7
65,129,129,Menard,5.8,94.2,40.9,47.4,44.15,12.9,1.8,1.9
66,131,131,Mercer,18.1,81.9,44.2,60.3,52.25,0.9,1,1.4
